Date,League,Home_Team,Away_Team,URL,Over 0.5,Under 0.5,Over 1.5,Under 1.5,Over 2.5,Under 2.5,Over 3.5,Under 3.5,Over 4.5,Under 4.5,Over 5.5,Under 5.5,Chosen_Option,Chosen_Odds,Chosen_Option_Empirical_Prob,N,Chosen_Option_Std,Kelly,Record_Time
2020-11-01,super-league,Qingdao Huanghai FC,Wuhan Zall,https://www.playnow.com/sports/sports/event/10233440/qingdao-huanghai-fc-v-wuhan-zall-fc,1.09,7,1.44,2.6,2.4,1.5,4.25,1.18,8,1.05,0,0,"",,,,,,10/31/2020 13:43
2020-11-01,super-league,Chongqing Lifan,Shanghai Shenhua,https://www.playnow.com/sports/sports/event/10233059/chongqing-lifan-v-shanghai-shenhua,1.04,12,1.25,3.5,1.83,1.9,3,1.36,5.25,1.12,0,0,Under 1.5,3.5,0.571428571,14,0.132260014,3.5,10/31/2020 13:43
2020-10-31,super-league,Tianjin Teda,Dalian Pro,https://www.playnow.com/sports/sports/event/10231200/tianjin-teda-v-dalian-professional-fc,1.03,15,1.2,4,1.62,2.1,2.55,1.47,4.5,1.16,0,0,Under 1.5,4,0.2,5,0.178885438,33,10/30/2020 16:05
2020-10-31,super-league,Shandong Luneng,Hebei,https://www.playnow.com/sports/sports/event/10233058/shandong-luneng-v-hebei-china-fortune-fc,0,0,1.12,5.5,1.4,2.65,2.05,1.7,3.25,1.3,5.5,1.11,Over 4.5,3.25,0.25,4,0.216506351,3.867647059,10/30/2020 16:05
2020-10-31,super-league,Henan Jianye,Guangzhou R&F,https://www.playnow.com/sports/sports/event/10232859/henan-jianye-v-guangzhou-randf-fc,1.04,12,1.25,3.6,1.8,1.9,2.9,1.36,5.25,1.12,0,0,Under 1.5,3.6,0.454545455,11,0.150131423,4.927272727,10/31/2020 13:43
2020-10-29,super-league,Jiangsu Suning,Shanghai SIPG,https://www.playnow.com/sports/sports/event/10229885/jiangsu-suning-fc-v-shanghai-sipg,1.08,8,1.4,2.7,2.25,1.57,4,1.2,7.5,1.05,0,0,Over 3.5,4,0.142857143,7,0.132260014,2.904761905,10/28/2020 4:07
2020-10-28,super-league,Beijing Guoan,Guangzhou Evergrande,https://www.playnow.com/sports/sports/event/10229845/beijing-guoan-fc-v-guangzhou-evergrande,0,0,1.14,4.75,1.5,2.4,2.2,1.6,3.75,1.25,6.5,1.09,Under 1.5,4.75,0.090909091,11,0.086678417,5.112554113,10/28/2020 4:07
2020-10-26,super-league,Dalian Pro,Tianjin Teda,https://www.playnow.com/sports/sports/event/10229828/dalian-professional-fc-v-tianjin-teda,1.05,10,1.3,3.2,1.95,1.75,3.25,1.28,6,1.09,0,0,Under 1.5,3.2,0.2,5,0.178885438,1.984615385,10/25/2020 5:59
2020-10-24,super-league,Jiangsu Suning,Chongqing Lifan,https://www.playnow.com/sports/sports/event/10225995/jiangsu-suning-fc-v-chongqing-lifan,1.06,10,1.3,3.2,2,1.75,3.4,1.28,6,1.09,0,0,"",,,,,,10/23/2020 3:18
2020-10-24,super-league,Guangzhou R&F,Qingdao Huanghai FC,https://www.playnow.com/sports/sports/event/10225811/guangzhou-randf-fc-v-qingdao-huanghai-fc,1.07,9,1.36,2.9,2.1,1.67,3.6,1.25,7,1.07,0,0,"",,,,,,10/23/2020 3:17
2020-10-23,super-league,Wuhan Zall,Henan Jianye,https://www.playnow.com/sports/sports/event/10225193/wuhan-zall-fc-v-henan-jianye,1.07,8.5,1.38,2.8,2.2,1.6,3.9,1.22,7.5,1.06,0,0,"",,,,,,10/22/2020 2:16
2020-10-23,super-league,Shanghai SIPG,Shanghai Shenhua,https://www.playnow.com/sports/sports/event/10225322/shanghai-sipg-v-shanghai-shenhua,1.04,12,1.25,3.5,1.8,1.9,3,1.36,5.25,1.12,0,0,Over 4.5,5.25,0.285714286,7,0.170746944,7.818181818,10/22/2020 2:17
2020-10-22,super-league,Shijiazhuang,Dalian Pro,https://www.playnow.com/sports/sports/event/10224446/shijiazhuang-ever-bright-fc-v-dalian-professional-fc,1.05,11,1.25,3.5,1.83,1.87,3,1.33,5.5,1.12,0,0,"",,,,,,10/21/2020 9:53
2020-10-22,super-league,Beijing Guoan,Shandong Luneng,https://www.playnow.com/sports/sports/event/10224445/beijing-guoan-fc-v-shandong-luneng,0,0,1.16,4.5,1.53,2.35,2.3,1.57,3.9,1.22,7,1.08,"",,,,,,10/21/2020 9:53
2020-10-21,super-league,Guangzhou Evergrande,Hebei,https://www.playnow.com/sports/sports/event/10224428/guangzhou-evergrande-v-hebei-china-fortune-fc,1.02,18,1.16,4.5,1.53,2.3,2.35,1.53,4,1.2,0,0,Under 1.5,4.5,,0,,1.507246377,10/20/2020 9:36
2020-10-20,super-league,Shenzhen,Tianjin Teda,https://www.playnow.com/sports/sports/event/10224422/shenzhen-fc-v-tianjin-teda,1.04,12,1.25,3.5,1.83,1.87,3,1.33,5.5,1.12,0,0,Over 4.5,5.5,,0,,1.762711864,10/20/2020 9:36
