Date,Season_Year,Home_Team,Away_Team,Home_Goal,Away_Goal
29.01.2019,2018,Arsenal,Cardiff,2,1
29.01.2019,2018,Fulham,Brighton,4,2
29.01.2019,2018,Huddersfield,Everton,0,1
29.01.2019,2018,Manchester Utd,Burnley,2,2
29.01.2019,2018,Newcastle,Manchester City,2,1
29.01.2019,2018,Wolves,West Ham,3,0
20.01.2019,2018,Fulham,Tottenham,1,2
20.01.2019,2018,Huddersfield,Manchester City,0,3
19.01.2019,2018,Arsenal,Chelsea,2,0
19.01.2019,2018,Bournemouth,West Ham,2,0
19.01.2019,2018,Liverpool,Crystal Palace,4,3
19.01.2019,2018,Manchester Utd,Brighton,2,1
19.01.2019,2018,Newcastle,Cardiff,3,0
19.01.2019,2018,Southampton,Everton,2,1
19.01.2019,2018,Watford,Burnley,0,0
19.01.2019,2018,Wolves,Leicester,4,3
14.01.2019,2018,Manchester City,Wolves,3,0
13.01.2019,2018,Everton,Bournemouth,2,0
13.01.2019,2018,Tottenham,Manchester Utd,0,1
12.01.2019,2018,Brighton,Liverpool,0,1
12.01.2019,2018,Burnley,Fulham,2,1
12.01.2019,2018,Cardiff,Huddersfield,0,0
12.01.2019,2018,Chelsea,Newcastle,2,1
12.01.2019,2018,Crystal Palace,Watford,1,2
12.01.2019,2018,Leicester,Southampton,1,2
12.01.2019,2018,West Ham,Arsenal,1,0
03.01.2019,2018,Manchester City,Liverpool,2,1
02.01.2019,2018,Bournemouth,Watford,3,3
02.01.2019,2018,Chelsea,Southampton,0,0
02.01.2019,2018,Huddersfield,Burnley,1,2
02.01.2019,2018,Newcastle,Manchester Utd,0,2
02.01.2019,2018,West Ham,Brighton,2,2
02.01.2019,2018,Wolves,Crystal Palace,0,2
01.01.2019,2018,Arsenal,Fulham,4,1
01.01.2019,2018,Cardiff,Tottenham,0,3
01.01.2019,2018,Everton,Leicester,0,1
30.12.2018,2018,Burnley,West Ham,2,0
30.12.2018,2018,Crystal Palace,Chelsea,0,1
30.12.2018,2018,Manchester Utd,Bournemouth,4,1
30.12.2018,2018,Southampton,Manchester City,1,3
29.12.2018,2018,Brighton,Everton,1,0
29.12.2018,2018,Fulham,Huddersfield,1,0
29.12.2018,2018,Leicester,Cardiff,0,1
29.12.2018,2018,Liverpool,Arsenal,5,1
29.12.2018,2018,Tottenham,Wolves,1,3
29.12.2018,2018,Watford,Newcastle,1,1
27.12.2018,2018,Southampton,West Ham,1,2
26.12.2018,2018,Brighton,Arsenal,1,1
26.12.2018,2018,Burnley,Everton,1,5
26.12.2018,2018,Crystal Palace,Cardiff,0,0
26.12.2018,2018,Fulham,Wolves,1,1
26.12.2018,2018,Leicester,Manchester City,2,1
26.12.2018,2018,Liverpool,Newcastle,4,0
26.12.2018,2018,Manchester Utd,Huddersfield,3,1
26.12.2018,2018,Tottenham,Bournemouth,5,0
26.12.2018,2018,Watford,Chelsea,1,2
23.12.2018,2018,Everton,Tottenham,2,6
22.12.2018,2018,Arsenal,Burnley,3,1
22.12.2018,2018,Bournemouth,Brighton,2,0
22.12.2018,2018,Cardiff,Manchester Utd,1,5
22.12.2018,2018,Chelsea,Leicester,0,1
22.12.2018,2018,Huddersfield,Southampton,1,3
22.12.2018,2018,Manchester City,Crystal Palace,2,3
22.12.2018,2018,Newcastle,Fulham,0,0
22.12.2018,2018,West Ham,Watford,0,2
21.12.2018,2018,Wolves,Liverpool,0,2
16.12.2018,2018,Brighton,Chelsea,1,2
16.12.2018,2018,Liverpool,Manchester Utd,3,1
16.12.2018,2018,Southampton,Arsenal,3,2
15.12.2018,2018,Crystal Palace,Leicester,1,0
15.12.2018,2018,Fulham,West Ham,0,2
15.12.2018,2018,Huddersfield,Newcastle,0,1
15.12.2018,2018,Manchester City,Everton,3,1
15.12.2018,2018,Tottenham,Burnley,1,0
15.12.2018,2018,Watford,Cardiff,3,2
15.12.2018,2018,Wolves,Bournemouth,2,0
10.12.2018,2018,Everton,Watford,2,2
09.12.2018,2018,Newcastle,Wolves,1,2
08.12.2018,2018,Arsenal,Huddersfield,1,0
08.12.2018,2018,Bournemouth,Liverpool,0,4
08.12.2018,2018,Burnley,Brighton,1,0
08.12.2018,2018,Cardiff,Southampton,1,0
08.12.2018,2018,Chelsea,Manchester City,2,0
08.12.2018,2018,Leicester,Tottenham,0,2
08.12.2018,2018,Manchester Utd,Fulham,4,1
08.12.2018,2018,West Ham,Crystal Palace,3,2
05.12.2018,2018,Burnley,Liverpool,1,3
05.12.2018,2018,Everton,Newcastle,1,1
05.12.2018,2018,Fulham,Leicester,1,1
05.12.2018,2018,Manchester Utd,Arsenal,2,2
05.12.2018,2018,Tottenham,Southampton,3,1
05.12.2018,2018,Wolves,Chelsea,2,1
04.12.2018,2018,Bournemouth,Huddersfield,2,1
04.12.2018,2018,Brighton,Crystal Palace,3,1
04.12.2018,2018,Watford,Manchester City,1,2
04.12.2018,2018,West Ham,Cardiff,3,1
02.12.2018,2018,Arsenal,Tottenham,4,2
02.12.2018,2018,Chelsea,Fulham,2,0
02.12.2018,2018,Liverpool,Everton,1,0
01.12.2018,2018,Crystal Palace,Burnley,2,0
01.12.2018,2018,Huddersfield,Brighton,1,2
01.12.2018,2018,Leicester,Watford,2,0
01.12.2018,2018,Manchester City,Bournemouth,3,1
01.12.2018,2018,Newcastle,West Ham,0,3
01.12.2018,2018,Southampton,Manchester Utd,2,2
30.11.2018,2018,Cardiff,Wolves,2,1
26.11.2018,2018,Burnley,Newcastle,1,2
25.11.2018,2018,Bournemouth,Arsenal,1,2
25.11.2018,2018,Wolves,Huddersfield,0,2
24.11.2018,2018,Brighton,Leicester,1,1
24.11.2018,2018,Everton,Cardiff,1,0
24.11.2018,2018,Fulham,Southampton,3,2
24.11.2018,2018,Manchester Utd,Crystal Palace,0,0
24.11.2018,2018,Tottenham,Chelsea,3,1
24.11.2018,2018,Watford,Liverpool,0,3
24.11.2018,2018,West Ham,Manchester City,0,4
11.11.2018,2018,Arsenal,Wolves,1,1
11.11.2018,2018,Chelsea,Everton,0,0
11.11.2018,2018,Liverpool,Fulham,2,0
11.11.2018,2018,Manchester City,Manchester Utd,3,1
10.11.2018,2018,Cardiff,Brighton,2,1
10.11.2018,2018,Crystal Palace,Tottenham,0,1
10.11.2018,2018,Huddersfield,West Ham,1,1
10.11.2018,2018,Leicester,Burnley,0,0
10.11.2018,2018,Newcastle,Bournemouth,2,1
10.11.2018,2018,Southampton,Watford,1,1
05.11.2018,2018,Huddersfield,Fulham,1,0
04.11.2018,2018,Chelsea,Crystal Palace,3,1
04.11.2018,2018,Manchester City,Southampton,6,1
03.11.2018,2018,Arsenal,Liverpool,1,1
03.11.2018,2018,Bournemouth,Manchester Utd,1,2
03.11.2018,2018,Cardiff,Leicester,0,1
03.11.2018,2018,Everton,Brighton,3,1
03.11.2018,2018,Newcastle,Watford,1,0
03.11.2018,2018,West Ham,Burnley,4,2
03.11.2018,2018,Wolves,Tottenham,2,3
29.10.2018,2018,Tottenham,Manchester City,0,1
28.10.2018,2018,Burnley,Chelsea,0,4
28.10.2018,2018,Crystal Palace,Arsenal,2,2
28.10.2018,2018,Manchester Utd,Everton,2,1
27.10.2018,2018,Brighton,Wolves,1,0
27.10.2018,2018,Fulham,Bournemouth,0,3
27.10.2018,2018,Leicester,West Ham,1,1
27.10.2018,2018,Liverpool,Cardiff,4,1
27.10.2018,2018,Southampton,Newcastle,0,0
27.10.2018,2018,Watford,Huddersfield,3,0
22.10.2018,2018,Arsenal,Leicester,3,1
21.10.2018,2018,Everton,Crystal Palace,2,0
20.10.2018,2018,Bournemouth,Southampton,0,0
20.10.2018,2018,Cardiff,Fulham,4,2
20.10.2018,2018,Chelsea,Manchester Utd,2,2
20.10.2018,2018,Huddersfield,Liverpool,0,1
20.10.2018,2018,Manchester City,Burnley,5,0
20.10.2018,2018,Newcastle,Brighton,0,1
20.10.2018,2018,West Ham,Tottenham,0,1
20.10.2018,2018,Wolves,Watford,0,2
07.10.2018,2018,Fulham,Arsenal,1,5
07.10.2018,2018,Liverpool,Manchester City,0,0
07.10.2018,2018,Southampton,Chelsea,0,3
06.10.2018,2018,Burnley,Huddersfield,1,1
06.10.2018,2018,Crystal Palace,Wolves,0,1
06.10.2018,2018,Leicester,Everton,1,2
06.10.2018,2018,Manchester Utd,Newcastle,3,2
06.10.2018,2018,Tottenham,Cardiff,1,0
06.10.2018,2018,Watford,Bournemouth,0,4
05.10.2018,2018,Brighton,West Ham,1,0
01.10.2018,2018,Bournemouth,Crystal Palace,2,1
30.09.2018,2018,Cardiff,Burnley,1,2
29.09.2018,2018,Arsenal,Watford,2,0
29.09.2018,2018,Chelsea,Liverpool,1,1
29.09.2018,2018,Everton,Fulham,3,0
29.09.2018,2018,Huddersfield,Tottenham,0,2
29.09.2018,2018,Manchester City,Brighton,2,0
29.09.2018,2018,Newcastle,Leicester,0,2
29.09.2018,2018,West Ham,Manchester Utd,3,1
29.09.2018,2018,Wolves,Southampton,2,0
23.09.2018,2018,Arsenal,Everton,2,0
23.09.2018,2018,West Ham,Chelsea,0,0
22.09.2018,2018,Brighton,Tottenham,1,2
22.09.2018,2018,Burnley,Bournemouth,4,0
22.09.2018,2018,Cardiff,Manchester City,0,5
22.09.2018,2018,Crystal Palace,Newcastle,0,0
22.09.2018,2018,Fulham,Watford,1,1
22.09.2018,2018,Leicester,Huddersfield,3,1
22.09.2018,2018,Liverpool,Southampton,3,0
22.09.2018,2018,Manchester Utd,Wolves,1,1
17.09.2018,2018,Southampton,Brighton,2,2
16.09.2018,2018,Everton,West Ham,1,3
16.09.2018,2018,Wolves,Burnley,1,0
15.09.2018,2018,Bournemouth,Leicester,4,2
15.09.2018,2018,Chelsea,Cardiff,4,1
15.09.2018,2018,Huddersfield,Crystal Palace,0,1
15.09.2018,2018,Manchester City,Fulham,3,0
15.09.2018,2018,Newcastle,Arsenal,1,2
15.09.2018,2018,Tottenham,Liverpool,1,2
15.09.2018,2018,Watford,Manchester Utd,1,2
02.09.2018,2018,Burnley,Manchester Utd,0,2
02.09.2018,2018,Cardiff,Arsenal,2,3
02.09.2018,2018,Watford,Tottenham,2,1
01.09.2018,2018,Brighton,Fulham,2,2
01.09.2018,2018,Chelsea,Bournemouth,2,0
01.09.2018,2018,Crystal Palace,Southampton,0,2
01.09.2018,2018,Everton,Huddersfield,1,1
01.09.2018,2018,Leicester,Liverpool,1,2
01.09.2018,2018,Manchester City,Newcastle,2,1
01.09.2018,2018,West Ham,Wolves,0,1
27.08.2018,2018,Manchester Utd,Tottenham,0,3
26.08.2018,2018,Fulham,Burnley,4,2
26.08.2018,2018,Newcastle,Chelsea,1,2
26.08.2018,2018,Watford,Crystal Palace,2,1
25.08.2018,2018,Arsenal,West Ham,3,1
25.08.2018,2018,Bournemouth,Everton,2,2
25.08.2018,2018,Huddersfield,Cardiff,0,0
25.08.2018,2018,Liverpool,Brighton,1,0
25.08.2018,2018,Southampton,Leicester,1,2
25.08.2018,2018,Wolves,Manchester City,1,1
20.08.2018,2018,Crystal Palace,Liverpool,0,2
19.08.2018,2018,Brighton,Manchester Utd,3,2
19.08.2018,2018,Burnley,Watford,1,3
19.08.2018,2018,Manchester City,Huddersfield,6,1
18.08.2018,2018,Cardiff,Newcastle,0,0
18.08.2018,2018,Chelsea,Arsenal,3,2
18.08.2018,2018,Everton,Southampton,2,1
18.08.2018,2018,Leicester,Wolves,2,0
18.08.2018,2018,Tottenham,Fulham,3,1
18.08.2018,2018,West Ham,Bournemouth,1,2
12.08.2018,2018,Arsenal,Manchester City,0,2
12.08.2018,2018,Liverpool,West Ham,4,0
12.08.2018,2018,Southampton,Burnley,0,0
11.08.2018,2018,Bournemouth,Cardiff,2,0
11.08.2018,2018,Fulham,Crystal Palace,0,2
11.08.2018,2018,Huddersfield,Chelsea,0,3
11.08.2018,2018,Newcastle,Tottenham,1,2
11.08.2018,2018,Watford,Brighton,2,0
11.08.2018,2018,Wolves,Everton,2,2
10.08.2018,2018,Manchester Utd,Leicester,2,1
